date	time	milli	price	qty	turnover	cumOpenint	yp	bid	bid.qty	ask	ask.qty	cum.qty	cum.turnover
20210421	21:02:02	0	13865	52	7210150.0	223133	13910	13865	94	13870	4	9179	1272751600
20210421	21:02:02	500	13870	32	4436850.0	223131	13910	13865	74	13870	114	9211	1277188450
20210421	21:02:03	0	13855	298	41308300.0	223105	13910	13855	166	13860	1	9509	1318496750
20210421	21:02:03	500	13860	73	10117650.0	223086	13910	13855	176	13860	15	9582	1328614400
20210421	21:02:04	0	13860	31	4296700.0	223102	13910	13860	35	13865	78	9613	1332911100
20210421	21:02:04	500	13865	4	554600.0	223100	13910	13860	77	13865	75	9617	1333465700
20210421	21:02:05	0	13865	3	415950.0	223098	13910	13860	85	13865	70	9620	1333881650
20210421	21:02:05	500	13865	21	2911600.0	223098	13910	13860	90	13865	47	9641	1336793250
20210421	21:02:06	0	13865	50	6932500.0	223095	13910	13865	48	13870	89	9691	1343725750
20210421	21:02:06	500	13865	1	138650.0	223094	13910	13865	74	13870	91	9692	1343864400
20210421	21:02:07	0	13865	49	6794150.0	223049	13910	13865	35	13870	87	9741	1350658550
20210421	21:02:07	500	13865	16	2218400.0	223051	13910	13865	37	13870	88	9757	1352876950
20210421	21:02:08	0	13865	6	831900.0	223051	13910	13865	40	13870	88	9763	1353708850
20210421	21:02:08	500	13870	3	416050.0	223052	13910	13865	44	13870	88	9766	1354124900
20210421	21:02:09	0	13865	14	1941700.0	223060	13910	13865	47	13870	74	9780	1356066600
20210421	21:02:09	500	13865	8	1109200.0	223053	13910	13865	63	13870	74	9788	1357175800
20210421	21:02:10	0	13870	77	10679950.0	223003	13910	13870	32	13875	106	9865	1367855750
20210421	21:02:10	500	13870	10	1387350.0	223000	13910	13870	42	13875	102	9875	1369243100
20210421	21:02:11	0	13865	45	6241450.0	222988	13910	13865	82	13870	31	9920	1375484550
20210421	21:02:11	500	13875	48	6657700.0	222996	13910	13870	30	13875	108	9968	1382142250
20210421	21:02:12	0	13870	3	416100.0	222998	13910	13870	52	13875	112	9971	1382558350
20210421	21:02:12	500	13870	6	832250.0	223000	13910	13870	75	13875	111	9977	1383390600
20210421	21:02:13	0	13870	2	277450.0	223000	13910	13870	76	13875	111	9979	1383668050
20210421	21:02:13	500	13870	19	2635500.0	223001	13910	13870	61	13875	109	9998	1386303550
20210421	21:02:14	0	13870	2	277400.0	223002	13910	13870	60	13875	122	10000	1386580950
20210421	21:02:14	500	13880	127	17621200.0	222942	13910	13875	69	13880	175	10127	1404202150
20210421	21:02:15	0	13875	8	1110050.0	222935	13910	13875	75	13880	182	10135	1405312200
20210421	21:02:15	500	13875	16	2220100.0	222920	13910	13875	61	13880	181	10151	1407532300
20210421	21:02:16	0	13875	5	693750.0	222916	13910	13875	56	13880	184	10156	1408226050
20210421	21:02:16	500	13880	15	2081300.0	222907	13910	13875	42	13880	183	10171	1410307350
20210421	21:02:17	0	13875	20	2775000.0	222907	13910	13875	22	13880	183	10191	1413082350
20210421	21:02:17	500	13875	39	5411250.0	222906	13910	13870	108	13875	58	10230	1418493600
20210421	21:02:18	0	13875	3	416200.0	222909	13910	13870	109	13875	60	10233	1418909800
20210421	21:02:18	500	13875	3	416200.0	222910	13910	13870	109	13875	77	10236	1419326000
20210421	21:02:19	0	13875	7	971200.0	222914	13910	13870	108	13875	73	10243	1420297200
20210421	21:02:19	500	13875	12	1664500.0	222906	13910	13870	98	13875	70	10255	1421961700
20210421	21:02:20	0	13875	1	138750.0	222906	13910	13870	116	13875	69	10256	1422100450
20210421	21:02:20	500	13875	7	971150.0	222905	13910	13870	115	13875	64	10263	1423071600
20210421	21:02:21	0	13875	5	693550.0	222904	13910	13870	112	13875	65	10268	1423765150
20210421	21:02:21	500	13870	8	1109800.0	222903	13910	13870	110	13875	63	10276	1424874950
20210421	21:02:22	0	13870	2	277450.0	222902	13910	13870	113	13875	63	10278	1425152400
20210421	21:02:22	500	13870	14	1942350.0	222903	13910	13870	111	13875	62	10292	1427094750
20210421	21:02:23	0	13870	17	2358450.0	222899	13910	13870	109	13875	52	10309	1429453200
20210421	21:02:23	500	13870	3	416200.0	222898	13910	13870	108	13875	50	10312	1429869400
20210421	21:02:24	0	13870	4	554800.0	222901	13910	13870	104	13875	58	10316	1430424200
20210421	21:02:24	500	13875	1	138750.0	222901	13910	13870	106	13875	54	10317	1430562950
20210421	21:02:25	0	13875	58	8047500.0	222937	13910	13875	19	13880	177	10375	1438610450
20210421	21:02:25	500	13875	6	832500.0	222937	13910	13875	39	13880	177	10381	1439442950
20210421	21:02:26	0	13875	4	555000.0	222937	13910	13875	40	13880	177	10385	1439997950
20210421	21:02:26	500	13875	10	1387500.0	222934	13910	13875	30	13880	178	10395	1441385450
